C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,DAILY_ENTRIES,DAILY_EXITS
A002,R051,02-05-00,59 ST,NQR456W,BMT,05/23/2022,12.0,0.0
A002,R051,02-05-00,59 ST,NQR456W,BMT,05/24/2022,7.0,0.0
A002,R051,02-05-00,59 ST,NQR456W,BMT,05/25/2022,18.0,0.0
A002,R051,02-05-00,59 ST,NQR456W,BMT,05/26/2022,13.0,0.0
A002,R051,02-05-00,59 ST,NQR456W,BMT,05/27/2022,7.0,0.0
A002,R051,02-05-01,59 ST,NQR456W,BMT,05/21/2022,0.0,0.0
A002,R051,02-05-01,59 ST,NQR456W,BMT,05/22/2022,0.0,0.0
A002,R051,02-05-01,59 ST,NQR456W,BMT,05/23/2022,0.0,1.0
A002,R051,02-05-01,59 ST,NQR456W,BMT,05/24/2022,0.0,1.0
A002,R051,02-05-01,59 ST,NQR456W,BMT,05/25/2022,0.0,2.0
A002,R051,02-05-01,59 ST,NQR456W,BMT,05/26/2022,0.0,0.0
A002,R051,02-05-01,59 ST,NQR456W,BMT,05/27/2022,0.0,0.0
A002,R051,02-06-00,59 ST,NQR456W,BMT,05/21/2022,282.0,47.0
A002,R051,02-06-00,59 ST,NQR456W,BMT,05/22/2022,187.0,42.0
A002,R051,02-06-00,59 ST,NQR456W,BMT,05/23/2022,534.0,49.0
A002,R051,02-06-00,59 ST,NQR456W,BMT,05/24/2022,546.0,68.0
A002,R051,02-06-00,59 ST,NQR456W,BMT,05/25/2022,601.0,69.0
A002,R051,02-06-00,59 ST,NQR456W,BMT,05/26/2022,564.0,46.0
A002,R051,02-06-00,59 ST,NQR456W,BMT,05/27/2022,482.0,50.0
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/21/2022,526.0,1333.0
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/22/2022,427.0,1083.0
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/23/2022,737.0,1776.0
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/24/2022,788.0,1931.0
